Mission Start:  2022-03-28T23:01:58.340Z
Mission Stop :  2022-03-28T23:19:02.342Z
Time : 2022-03-28 23:04:26.292000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:26.398000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:26.506000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:26.614000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:26.718000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:26.824000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:26.933000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:27.040000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:27.146000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:27.251000+00:00 	 14 : 35 	 observations/state
Time : 2022-03-28 23:04:27.355000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:27.462000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:27.572000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:27.677000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:27.789000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:27.899000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:28.011000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:28.119000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:28.213000+00:00 	 14 : 34 	 observations/events/player/triage
Time : 2022-03-28 23:04:28.227000+00:00 	 14 : 34 	 observations/state
Time : 2022-03-28 23:04:28.336000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:28.445000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:28.511000+00:00 	 14 : 33 	 observations/events/player/tool_used
Time : 2022-03-28 23:04:28.553000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:28.663000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:28.781000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:28.898000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:29.007000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:29.137000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:29.243000+00:00 	 14 : 33 	 observations/state
Time : 2022-03-28 23:04:29.352000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:29.468000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:29.580000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:29.690000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:29.810000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:29.913000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:30.031000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:30.138000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:30.242000+00:00 	 14 : 32 	 observations/state
Time : 2022-03-28 23:04:30.348000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:30.454000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:30.455000+00:00 	 14 : 31 	 observations/events/player/itemequipped
Time : 2022-03-28 23:04:30.560000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:30.612000+00:00 	 14 : 31 	 observations/events/player/marker_placed
Time : 2022-03-28 23:04:30.664000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:30.772000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:30.878000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:30.982000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:31.089000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:31.090000+00:00 	 14 : 31 	 observations/events/player/itemequipped
Time : 2022-03-28 23:04:31.195000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:31.304000+00:00 	 14 : 31 	 observations/state
Time : 2022-03-28 23:04:31.408000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:31.522000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:31.629000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:31.735000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:31.841000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:31.954000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:32.059000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:32.170000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:32.285000+00:00 	 14 : 30 	 observations/state
Time : 2022-03-28 23:04:32.393000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:32.507000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:32.611000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:32.720000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:32.826000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:32.933000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:33.039000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:33.145000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:33.257000+00:00 	 14 : 29 	 observations/state
Time : 2022-03-28 23:04:33.365000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:33.471000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:33.578000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:33.690000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:33.806000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:33.921000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:34.032000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:34.136000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:34.241000+00:00 	 14 : 28 	 observations/state
Time : 2022-03-28 23:04:34.349000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:34.469000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:34.583000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:34.694000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:34.801000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:34.911000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:35.023000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:35.133000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:35.243000+00:00 	 14 : 27 	 observations/state
Time : 2022-03-28 23:04:35.356000+00:00 	 14 : 26 	 observations/state
Time : 2022-03-28 23:04:35.473000+00:00 	 14 : 26 	 observations/state
